,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,divergent
0,0.9349940239838976,0.0112146899569647,-1.7750236515201236,0.5024628550172805,0,0,0,0,0,-2.7285101399191222e-05,0,0.0020262638281482,0,0,0,0,0,0,40.35060836823582,False
1,0.6473950155849759,0.2206877359520143,-0.1731603071816949,0.5411738837336739,0,0,0,0,0,4.466344942893295e-05,0,0.0019920517339611,0,0,0,0,0,0,47.57032349620588,False
2,0.9087950328202408,0.0341950396620638,-1.2656436516606604,0.4848177677647229,0,0,0,0,0,-4.500869363315268e-05,0,0.0021827709084031,0,0,0,0,0,0,43.93623824862463,False
3,0.3592423752606799,0.3779289967373933,-0.1007401567220354,0.6948655922431377,0,0,0,0,0,8.905032705208811e-05,0,0.0006259479515625,0,0,0,0,0,0,45.44300657308919,False
4,0.5817161071540804,0.1918104692113176,-0.125068643642797,0.3341486580340933,0,0,0,0,0,7.879013141274048e-05,0,0.0043727085914589,0,0,0,0,0,0,47.76079876860264,False
5,0.5032558801721496,0.3639177533409237,-0.0196780841543056,0.4667669826351242,0,0,0,0,0,8.123827503361216e-05,0,0.0003801576257112,0,0,0,0,0,0,46.281507801660965,False
6,0.4386491165919945,0.3996394191716153,-0.0117558874136347,0.5862511936944546,0,0,0,0,0,5.830870469881058e-05,0,0.0006132384039673,0,0,0,0,0,0,45.327306065344985,False
7,0.3354057041400637,0.4174569583305216,-0.0715620806377081,0.683250489703572,0,0,0,0,0,7.009063796626624e-05,0,0.0008719611322448,0,0,0,0,0,0,45.851796273316914,False
8,0.9670722473071742,0.0016583533259213,0.9442990797620604,0.9536542917600864,0,0,0,0,0,-2.853979728624501e-05,0,-0.0023841746346619,0,0,0,0,0,0,39.30870841578751,False
9,0.9588220109350104,0.0312064556228377,-1.709170698376998,0.4345397502292809,0,0,0,0,0,-3.0753496300475084e-05,0,0.0015007360062495,0,0,0,0,0,0,39.927968585171485,False
10,0.5670468318431219,0.3053977412008803,0.0817626118115435,-0.1683388621517485,0,0,0,0,0,7.053665492819454e-05,0,0.0006270582599075,0,0,0,0,0,0,48.32890344857757,False
11,-0.0223811250939915,0.8199668770066451,-0.0782341846780743,0.7753669484800709,0,0,0,0,0,8.452100373828532e-05,0,0.0006035545010901,0,0,0,0,0,0,45.27616060413849,False
12,0.505277529263986,0.2437250974044875,0.1807398414880663,0.1281347541115933,0,0,0,0,0,9.641656614045218e-05,0,0.001529534759319,0,0,0,0,0,0,47.28179746387503,False
13,0.4612340122883402,0.3466974025165044,0.116513465291006,0.3018313942741488,0,0,0,0,0,5.516459464895189e-05,0,-0.0004085530239176,0,0,0,0,0,0,47.452592532301935,False
14,0.3743477748129993,0.4331398164399194,0.0117825346321103,0.5364929647168086,0,0,0,0,0,8.151542675621779e-05,0,0.000867021916885,0,0,0,0,0,0,44.94333228288412,False
15,0.9315379760909636,-0.0011851124274899,1.97271653470766,0.3344832511816098,0,0,0,0,0,-2.750094262524665e-05,0,-0.0019031227450424,0,0,0,0,0,0,46.59081802051593,False
16,0.9494433617516824,-0.0191882968165804,1.1325638167445304,0.7493269982613517,0,0,0,0,0,-2.648300509051762e-05,0,-0.0002979626050712,0,0,0,0,0,0,44.59411296891102,False
17,1.0363671756853967,0.0264450559022595,-1.5552880896192465,0.3028527717207603,0,0,0,0,0,-8.377155154409073e-05,0,0.001136230675057,0,0,0,0,0,0,47.06243942996438,False
18,0.5793313059198315,0.2410915232125008,-0.1602764909858307,0.6124413906705275,0,0,0,0,0,6.213787022001274e-05,0,-0.0009361027726911,0,0,0,0,0,0,47.398954152749134,False
19,0.2124238931205697,0.5529163854866646,-0.2675901740078896,1.0299522304819957,0,0,0,0,0,7.931934809079282e-05,0,-0.0003293373587502,0,0,0,0,0,0,46.73234749478631,False
20,0.5861346699900998,0.2430099217444015,-0.1832255603062655,0.6612033128990125,0,0,0,0,0,5.2574120091170734e-05,0,0.0013452935656478,0,0,0,0,0,0,46.673336914541686,False
21,0.1031350276191629,0.6118759056811367,-0.2329720814696056,0.9739512815162792,0,0,0,0,0,0.0001414387001674,0,0.0008250289770759,0,0,0,0,0,0,46.64585095420272,False
22,0.3713692255977965,0.3984127313932042,-0.1392314581676601,0.7467501534541476,0,0,0,0,0,7.984331541280896e-05,0,0.0005629154182866,0,0,0,0,0,0,45.02439667260882,False
