,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,divergent
0,0.9293045254235572,0.1103993007405983,0.2022199845263634,-0.1465074188717519,0,0,0,0,0,-1.0465468569824487e-05,0,0.0083172296717663,0,0,0,0,0,0,21.276133499527027,False
1,0.9213740894051968,0.1046077987192237,-0.3161742597226615,-0.0442210348694256,0,0,0,0,0,8.524241839975666e-06,0,0.0105737750778727,0,0,0,0,0,0,22.236596556741944,False
2,0.7407017889742269,0.2558563736442409,0.4345667544714575,0.2172190722468538,0,0,0,0,0,-6.1462357920524685e-06,0,0.001473959280888,0,0,0,0,0,0,22.508413922146595,False
3,0.9218870577270356,0.0950433518426403,0.2034270718761348,-0.2337548636454172,0,0,0,0,0,-9.804653331521627e-06,0,0.0124366302877487,0,0,0,0,0,0,21.489613971297054,False
4,0.7611879534465622,0.2763450967593179,0.8109461175408179,-0.3449679779177521,0,0,0,0,0,3.9995269882204366e-06,0,0.00505990324751,0,0,0,0,0,0,22.101699843080443,False
5,0.6364931436753172,0.4602029345416434,0.4443249565992153,0.3388998449382248,0,0,0,0,0,-8.9104430437573e-06,0,0.0008574019455856,0,0,0,0,0,0,21.222001219235416,False
6,0.9366936564327322,0.0825367885236669,0.2349336243991682,-0.5453500744042081,0,0,0,0,0,-1.0662129168598478e-05,0,0.01205882685316,0,0,0,0,0,0,21.553209456108664,False
7,0.8662256691173056,0.2343864294334992,0.3970811605399054,-0.2448691209270346,0,0,0,0,0,-1.0626916479495984e-05,0,0.0039810657262699,0,0,0,0,0,0,21.0997240094462,False
8,0.9233127016591274,0.0681057774843378,0.3940261874747159,-0.410068105461975,0,0,0,0,0,-1.7700697744513727e-05,0,0.0104051683986006,0,0,0,0,0,0,22.05377832574468,False
9,0.5393625615943449,0.5953041103566887,0.381386206952413,0.4042241567428757,0,0,0,0,0,-1.680326170776916e-05,0,-0.0002229967090675,0,0,0,0,0,0,21.61364180343061,False
10,0.4311808236576655,0.7165864027633675,0.364866989977012,0.5109283086511751,0,0,0,0,0,-3.520407109458534e-05,0,0.0003959414046251,0,0,0,0,0,0,20.191162620872767,False
