,origin,context,perturb_type,perturb_size,perturb_sign,n,asyn,baseline_pre,baseline_post
22,combPSneg50,comb,PS,50,neg,0,52.71280864197531,0.0818658810325478,-1.2102048260381593
23,combPSneg50,comb,PS,50,neg,1,6.355232884399551,0.0818658810325478,-1.2102048260381593
24,combPSneg50,comb,PS,50,neg,2,-3.459834455667789,0.0818658810325478,-1.2102048260381593
25,combPSneg50,comb,PS,50,neg,3,-5.04081088664422,0.0818658810325478,-1.2102048260381593
26,combPSneg50,comb,PS,50,neg,4,-5.254026374859709,0.0818658810325478,-1.2102048260381593
27,combPSneg50,comb,PS,50,neg,5,-1.9054573512906852,0.0818658810325478,-1.2102048260381593
28,combPSneg50,comb,PS,50,neg,6,-4.392662738496072,0.0818658810325478,-1.2102048260381593
29,combPSneg50,comb,PS,50,neg,7,-1.7977974186307522,0.0818658810325478,-1.2102048260381593
30,combPSneg50,comb,PS,50,neg,8,0.019374298540965482,0.0818658810325478,-1.2102048260381593
31,combPSneg50,comb,PS,50,neg,9,-2.34064253647587,0.0818658810325478,-1.2102048260381593
32,combPSneg50,comb,PS,50,neg,10,-1.6525953984287318,0.0818658810325478,-1.2102048260381593
33,combPSneg50,comb,PS,50,neg,11,-0.2793630751964089,0.0818658810325478,-1.2102048260381593
34,combPSpos20,comb,PS,20,pos,-5,-1.5529904306220095,-0.20673843700159478,6.217296650717703
35,combPSpos20,comb,PS,20,pos,-4,-0.31654704944178624,-0.20673843700159478,6.217296650717703
36,combPSpos20,comb,PS,20,pos,-3,0.4597687400318979,-0.20673843700159478,6.217296650717703
37,combPSpos20,comb,PS,20,pos,-2,0.34860446570972914,-0.20673843700159478,6.217296650717703
38,combPSpos20,comb,PS,20,pos,-1,0.027472089314194648,-0.20673843700159478,6.217296650717703
39,combPSpos20,comb,PS,20,pos,0,-20.132655502392343,-0.20673843700159478,6.217296650717703
40,combPSpos20,comb,PS,20,pos,1,-4.994457735247209,-0.20673843700159478,6.217296650717703
41,combPSpos20,comb,PS,20,pos,2,-2.0031499202551837,-0.20673843700159478,6.217296650717703
42,combPSpos20,comb,PS,20,pos,3,-1.516866028708134,-0.20673843700159478,6.217296650717703
43,combPSpos20,comb,PS,20,pos,4,0.37515948963317386,-0.20673843700159478,6.217296650717703
44,combPSpos20,comb,PS,20,pos,5,4.397248803827752,-0.20673843700159478,6.217296650717703
45,combPSpos20,comb,PS,20,pos,6,5.053787878787879,-0.20673843700159478,6.217296650717703
