,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,subpopulation,perturb_type_x_context,perturb_type_x_context_x_subpopulation
19,0.5263091594994274,0.1513346227475676,-0.0637740192192746,-0.0236284363029972,0,0,0,0,0,0.0001996525965958,0,0.0024882774979697,0,0,0,0,0,0,63.05432118809831,0,PSSCpure,PSSCpure0
20,0.4226684828322122,0.2255059305832238,-0.217145878395117,-0.1607488826020058,0,0,0,0,0,0.0001974416463009,0,-0.0040387916930123,0,0,0,0,0,0,64.52511163726736,0,PSSCpure,PSSCpure0
21,0.4588410636984434,0.2454991744985895,-0.0156385001285412,-0.2125645868137049,0,0,0,0,0,0.0001950420453319,0,0.0012616507602726,0,0,0,0,0,0,62.15681069077488,0,PSSCpure,PSSCpure0
22,0.4807881526178419,0.2990163997495823,0.0155241201243705,-0.2533568314935523,0,0,0,0,0,0.0001920262484779,0,-0.0008895670193505,0,0,0,0,0,0,64.08767571214803,0,PSSCpure,PSSCpure0
23,0.5066974812803178,0.1673039746116282,-0.2148786992999887,-0.0688065801773667,0,0,0,0,0,0.0001634775024436,0,0.0019364113669283,0,0,0,0,0,0,65.49283584048632,0,PSSCpure,PSSCpure0
24,0.5161156899997361,0.1838080851279366,-0.1054589772597425,-0.2164906652872447,0,0,0,0,0,0.0001856828067332,0,0.0017365667271147,0,0,0,0,0,0,63.443673786954406,0,PSSCpure,PSSCpure0
25,0.4868781809453799,0.1724638196468433,-0.1827183965172296,-0.2491075083952056,0,0,0,0,0,0.0001689084078094,0,-0.0026077678011444,0,0,0,0,0,0,65.60858999479696,0,PSSCpure,PSSCpure0
26,0.5335019521698561,0.1385382081725943,0.1499666460608608,-0.4590998369481818,0,0,0,0,0,0.0001635592319662,0,0.0025108425507884,0,0,0,0,0,0,66.67049214694194,0,PSSCpure,PSSCpure0
27,0.4647532086477377,0.1930821749501667,0.0701607368471752,-0.2847722070912211,0,0,0,0,0,0.000173960426035,0,0.0028801068214035,0,0,0,0,0,0,64.47282926386461,0,PSSCpure,PSSCpure0
28,0.4922020354033818,0.2485427987446677,0.0176957729292817,-0.2583455632572478,0,0,0,0,0,0.0001690168849694,0,0.0033192799617843,0,0,0,0,0,0,64.39870247677256,0,PSSCpure,PSSCpure0
29,0.4613187678315285,0.1794470891191419,-0.0867832961807741,-0.2691900615819709,0,0,0,0,0,0.0001988063455304,0,0.0015459478551299,0,0,0,0,0,0,62.61032127213456,0,PSSCpure,PSSCpure0
30,0.4842213136087365,0.1744737611840503,-0.0456018214858697,0.1057701104505675,0,0,0,0,0,0.0001815576218968,0,0.0040069587373493,0,0,0,0,0,0,64.13766513596016,0,PSSCpure,PSSCpure0
31,0.4725111546096836,0.1802558906187332,-0.0680189717661412,0.1181163704268142,0,0,0,0,0,0.0001911032958134,0,0.0035402570911303,0,0,0,0,0,0,63.30751734764701,0,PSSCpure,PSSCpure0
32,0.4538874500003751,0.2579810545200489,-0.0996185622638172,0.0328006305064336,0,0,0,0,0,0.0001771730143877,0,0.0013534264155136,0,0,0,0,0,0,64.32244705111685,0,PSSCpure,PSSCpure0
33,0.5166567985879476,0.0842673301223442,-0.1849831042617036,-0.0080459496192304,0,0,0,0,0,0.0001949605189328,0,-0.0009144038531332,0,0,0,0,0,0,62.8857671245676,0,PSSCpure,PSSCpure0
34,0.4981933127880258,0.1383447078326645,-0.1513605503135895,0.2627276063770303,0,0,0,0,0,0.0001631109637492,0,-0.003132616686109,0,0,0,0,0,0,68.00226162602884,0,PSSCpure,PSSCpure0
35,0.5510538331051129,0.0510003986698612,-0.2133720804319649,0.0736083835113325,0,0,0,0,0,0.0001752093931781,0,-0.0002499232779763,0,0,0,0,0,0,65.12495432513114,0,PSSCpure,PSSCpure0
36,0.5203808348304086,0.051328159853341,-0.0330039954214693,-0.0806939810688189,0,0,0,0,0,0.0001883961802455,0,-0.0009354510364673,0,0,0,0,0,0,63.64464845881911,0,PSSCpure,PSSCpure0
37,0.5025224448051708,0.1561724571693075,-0.0375211053300672,-0.0240126216585179,0,0,0,0,0,0.000198950867037,0,-0.001843603155325,0,0,0,0,0,0,63.20988025660088,0,PSSCpure,PSSCpure0
38,0.4799305482327596,0.2093396361851893,-0.1054083217207593,0.1452235751403567,0,0,0,0,0,0.0001692690291927,0,-0.000361827564459,0,0,0,0,0,0,65.25228273301344,0,PSSCpure,PSSCpure0
39,0.5457951911976515,0.1328843283440783,0.1620020300473994,-0.3227036320862413,0,0,0,0,0,0.0001812195662503,0,0.0025361572077486,0,0,0,0,0,0,65.14577688302879,0,PSSCpure,PSSCpure0
40,0.4797723457128731,0.1344309098475422,-0.0234762186444978,-0.2211513043699651,0,0,0,0,0,0.0001920085549303,0,0.0028822171116654,0,0,0,0,0,0,63.19298265137603,0,PSSCpure,PSSCpure0
41,0.4666024070035992,0.1741823180516957,-0.0505110602669736,-0.2946670536977462,0,0,0,0,0,0.0001947529075248,0,-0.0027314493868679,0,0,0,0,0,0,63.21412370699632,0,PSSCpure,PSSCpure0
42,0.5084459990102688,0.0225770010545889,-0.0718104129193861,0.1478678417353669,0,0,0,0,0,0.0001960725856743,0,-3.053028975328997e-05,0,0,0,0,0,0,63.87618901920802,0,PSSCpure,PSSCpure0
43,0.4452502468093668,0.1868100965894248,-0.1265636844481013,0.1363689129601057,0,0,0,0,0,0.0001965706570596,0,0.0062395104566745,0,0,0,0,0,0,65.42003744329797,0,PSSCpure,PSSCpure0
44,0.4636363462722817,0.2216202897375634,-0.1175609532896306,0.0001039432583396,0,0,0,0,0,0.0001963621207144,0,-0.0028405713682423,0,0,0,0,0,0,64.01244792994113,0,PSSCpure,PSSCpure0
45,0.5397347291806431,0.0450619497545576,0.0285731125864838,0.0199313271192544,0,0,0,0,0,0.0001771067806748,0,0.0025732162547063,0,0,0,0,0,0,64.83994898881704,0,PSSCpure,PSSCpure0
