,origin,context,perturb_type,perturb_size,perturb_sign,n,asyn,baseline_pre,baseline_post
122,combSCpos50,comb,SC,50,pos,-2,-0.3679819023569019,0.16625420875420902,7.235231481481482
123,combSCpos50,comb,SC,50,pos,-1,0.36244739057239084,0.16625420875420902,7.235231481481482
124,combSCpos50,comb,SC,50,pos,0,-49.97328493265993,0.16625420875420902,7.235231481481482
125,combSCpos50,comb,SC,50,pos,1,-42.71779250841751,0.16625420875420902,7.235231481481482
126,combSCpos50,comb,SC,50,pos,2,-23.12445286195286,0.16625420875420902,7.235231481481482
127,combSCpos50,comb,SC,50,pos,3,-5.762047558922559,0.16625420875420902,7.235231481481482
128,combSCpos50,comb,SC,50,pos,4,2.2018097643097656,0.16625420875420902,7.235231481481482
129,combSCpos50,comb,SC,50,pos,5,3.868697390572392,0.16625420875420902,7.235231481481482
130,combSCpos50,comb,SC,50,pos,6,4.625199915824917,0.16625420875420902,7.235231481481482
131,combSCpos50,comb,SC,50,pos,7,5.34385521885522,0.16625420875420902,7.235231481481482
132,combSCpos50,comb,SC,50,pos,8,6.23040824915825,0.16625420875420902,7.235231481481482
133,combSCpos50,comb,SC,50,pos,9,8.70111531986532,0.16625420875420902,7.235231481481482
134,combSCpos50,comb,SC,50,pos,10,7.516361531986533,0.16625420875420902,7.235231481481482
135,combSCpos50,comb,SC,50,pos,11,8.384417087542088,0.16625420875420902,7.235231481481482
