,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,divergent
117,1.0427739952687811,0.2224680829202063,-0.7972557693456364,0.1860658363979537,0,0,0,0,0,-0.000162114226839,0,0.0001248325986323,0,0,0,0,0,0,23.823686671423417,False
118,0.9818169057285582,0.1060552027943058,-1.26607727919267,0.1917662765419394,0,0,0,0,0,-5.378039166117865e-05,0,-0.0017120863022936,0,0,0,0,0,0,28.935054348339776,False
119,0.3582194886020815,0.7463347787362737,-0.0919545012445253,0.5972967548046904,0,0,0,0,0,-3.275332253372549e-05,0,0.0003745213597125,0,0,0,0,0,0,26.468688844811613,False
120,0.0682900940911279,0.9695314274431897,-0.1818949697113698,0.8707875233673548,0,0,0,0,0,1.9694185790652165e-05,0,0.0008024624161526,0,0,0,0,0,0,25.611266108578047,False
121,0.2902224087604033,0.7830876991164022,0.1059478194893834,0.3363510449188416,0,0,0,0,0,5.856386116126e-06,0,-0.0002707811699955,0,0,0,0,0,0,30.236322313045697,False
122,0.3694196272062493,0.8437115513239579,-0.0318307581993739,0.4157570605957219,0,0,0,0,0,-9.832352699132304e-05,0,0.0009924583297504,0,0,0,0,0,0,27.641443919580357,False
123,0.9246630519797684,0.4606395549154558,-0.3594145661598107,0.0718494894212717,0,0,0,0,0,-0.000181054019594,0,-8.095471130661337e-05,0,0,0,0,0,0,24.298211826498733,False
124,1.0682576939096,0.291066456813204,-0.8700499422334196,0.0243598929305868,0,0,0,0,0,-8.371680468400688e-05,0,-0.0003764108181792,0,0,0,0,0,0,26.973666196202704,False
125,0.4486510791934024,0.6395075251064468,-6.97078025875264e-05,0.3685461533350009,0,0,0,0,0,-3.325223464097409e-05,0,0.0011346566935128,0,0,0,0,0,0,27.32639958501294,False
126,0.4153563034946259,0.5329124890968622,-0.0494591298767688,0.5485668854007555,0,0,0,0,0,5.875506977603618e-06,0,0.0002825726564185,0,0,0,0,0,0,28.00012968307605,False
127,0.005230941796511,0.9024663144328962,-0.3798691374022962,1.1209400507091152,0,0,0,0,0,1.8500019641463307e-05,0,-0.0006754551068297,0,0,0,0,0,0,25.378561021366632,False
128,0.6188234052637145,0.7292163319811467,-0.041497800936936,0.2584437213881321,0,0,0,0,0,-0.0001730613667799,0,0.0004135504010366,0,0,0,0,0,0,26.56225354010553,False
129,0.8924941662491284,0.3118936617979058,-0.605881033717482,-0.0286670121307552,0,0,0,0,0,-6.864746285059262e-05,0,0.0017482859028558,0,0,0,0,0,0,27.336578135450758,False
130,0.0085369568921573,0.9256189190480876,-0.1404655549133162,0.8498848618885368,0,0,0,0,0,3.4235331347152576e-05,0,8.897751989414004e-06,0,0,0,0,0,0,26.141711939131746,False
131,-0.0589295531970734,1.2274010450266275,-0.0354955732458859,0.6562206548423895,0,0,0,0,0,-3.849864474195437e-05,0,0.0007064459122021,0,0,0,0,0,0,27.457344263591324,False
132,-0.1682166169868266,1.0159816536382826,-0.4410119612879448,1.1773496183997847,0,0,0,0,0,6.0518110891021686e-05,0,-0.000185129627147,0,0,0,0,0,0,22.23321333956669,False
133,0.3118304722376601,0.6125017905260113,-0.1037184149627616,0.7517451388374172,0,0,0,0,0,5.324567680753237e-05,0,0.0002763072608011,0,0,0,0,0,0,28.517414769535275,False
